Source,Destination,Destination Port,Protocol,Length,Timestamp
192.168.0.88,192.168.0.255,None,NBNS,92,2025-04-10 13:09:50
192.168.0.88,192.168.0.255,None,NBNS,92,2025-04-10 13:09:50
192.168.0.88,192.168.0.255,None,NBNS,92,2025-04-10 13:09:51
192.168.0.88,192.168.0.1,None,DNS,92,2025-04-10 13:09:51
192.168.0.1,192.168.0.88,None,DNS,212,2025-04-10 13:09:51
192.168.0.88,20.189.173.10,443,TCP,66,2025-04-10 13:09:51
20.189.173.10,192.168.0.88,53081,TCP,66,2025-04-10 13:09:51
192.168.0.88,20.189.173.10,443,TCP,54,2025-04-10 13:09:51
192.168.0.88,20.189.173.10,443,TLS,571,2025-04-10 13:09:51
20.189.173.10,192.168.0.88,53081,TLS,153,2025-04-10 13:09:52
192.168.0.88,20.189.173.10,443,TLS,491,2025-04-10 13:09:52
104.18.26.48,192.168.0.88,49972,TLS,81,2025-04-10 13:09:52
192.168.0.88,104.18.26.48,443,TLS,85,2025-04-10 13:09:52
104.18.26.48,192.168.0.88,49972,TCP,60,2025-04-10 13:09:52
20.189.173.10,192.168.0.88,53081,TLS,1514,2025-04-10 13:09:52
20.189.173.10,192.168.0.88,53081,TCP,1514,2025-04-10 13:09:52
20.189.173.10,192.168.0.88,53081,TCP,1514,2025-04-10 13:09:52
20.189.173.10,192.168.0.88,53081,TLS,205,2025-04-10 13:09:52
192.168.0.88,20.189.173.10,443,TCP,54,2025-04-10 13:09:52
192.168.0.88,20.189.173.10,443,TLS,1494,2025-04-10 13:09:52
192.168.0.88,20.189.173.10,443,TLS,1453,2025-04-10 13:09:52
20.189.173.10,192.168.0.88,53081,TLS,157,2025-04-10 13:09:52
20.189.173.10,192.168.0.88,53081,TCP,60,2025-04-10 13:09:52
192.168.0.88,20.189.173.10,443,TCP,54,2025-04-10 13:09:52
20.189.173.10,192.168.0.88,53081,TLS,519,2025-04-10 13:09:52
192.168.0.88,20.189.173.10,443,TCP,54,2025-04-10 13:09:52
192.168.0.88,20.189.173.10,443,TLS,78,2025-04-10 13:09:52
192.168.0.88,20.189.173.10,443,TCP,54,2025-04-10 13:09:52
20.189.173.10,192.168.0.88,53081,TCP,60,2025-04-10 13:09:52
192.168.0.73,224.0.0.251,None,MDNS,201,2025-04-10 13:09:53
192.168.0.88,192.168.0.1,None,DNS,74,2025-04-10 13:09:58
192.168.0.88,192.168.0.1,None,DNS,74,2025-04-10 13:09:58
192.168.0.1,192.168.0.88,None,DNS,99,2025-04-10 13:09:58
192.168.0.1,192.168.0.88,None,DNS,90,2025-04-10 13:09:58
192.168.0.88,142.251.221.196,None,QUIC,1292,2025-04-10 13:09:58
192.168.0.88,142.251.221.196,None,QUIC,1292,2025-04-10 13:09:58
192.168.0.88,142.251.221.196,None,QUIC,1292,2025-04-10 13:09:58
192.168.0.88,142.251.221.196,None,QUIC,122,2025-04-10 13:09:58
142.251.221.196,192.168.0.88,None,QUIC,82,2025-04-10 13:09:58
142.251.221.196,192.168.0.88,None,QUIC,82,2025-04-10 13:09:58
142.251.221.196,192.168.0.88,None,QUIC,1292,2025-04-10 13:09:58
142.251.221.196,192.168.0.88,None,QUIC,1292,2025-04-10 13:09:58
192.168.0.88,142.251.221.196,None,QUIC,1292,2025-04-10 13:09:58
142.251.221.196,192.168.0.88,None,QUIC,1292,2025-04-10 13:09:58
142.251.221.196,192.168.0.88,None,QUIC,335,2025-04-10 13:09:58
142.251.221.196,192.168.0.88,None,QUIC,999,2025-04-10 13:09:58
142.251.221.196,192.168.0.88,None,QUIC,108,2025-04-10 13:09:58
142.251.221.196,192.168.0.88,None,QUIC,66,2025-04-10 13:09:58
192.168.0.88,142.251.221.196,None,QUIC,120,2025-04-10 13:09:58
192.168.0.88,142.251.221.196,None,QUIC,73,2025-04-10 13:09:58
142.251.221.196,192.168.0.88,None,QUIC,1292,2025-04-10 13:09:58
142.251.221.196,192.168.0.88,None,QUIC,162,2025-04-10 13:09:58
192.168.0.88,142.251.221.196,None,QUIC,75,2025-04-10 13:09:58
192.168.0.88,142.250.196.3,443,TLS,55,2025-04-10 13:10:01
142.250.196.3,192.168.0.88,53064,TCP,66,2025-04-10 13:10:01
104.18.95.41,192.168.0.88,53043,TLS,93,2025-04-10 13:10:04
192.168.0.88,104.18.95.41,443,TCP,54,2025-04-10 13:10:04
104.18.95.41,192.168.0.88,53043,TCP,60,2025-04-10 13:10:04
192.168.0.88,104.18.95.41,443,TCP,54,2025-04-10 13:10:04
104.18.95.41,192.168.0.88,53043,TCP,60,2025-04-10 13:10:04
104.16.79.73,192.168.0.88,53042,TLS,93,2025-04-10 13:10:04
104.16.79.73,192.168.0.88,53042,TCP,60,2025-04-10 13:10:04
192.168.0.88,104.16.79.73,443,TCP,54,2025-04-10 13:10:04
192.168.0.88,104.16.79.73,443,TCP,54,2025-04-10 13:10:04
104.16.79.73,192.168.0.88,53042,TCP,60,2025-04-10 13:10:04
192.168.0.149,224.0.0.251,None,MDNS,132,2025-04-10 13:10:04
104.16.80.73,192.168.0.88,53049,TLS,93,2025-04-10 13:10:12
192.168.0.88,104.16.80.73,443,TCP,54,2025-04-10 13:10:12
104.16.80.73,192.168.0.88,53049,TCP,60,2025-04-10 13:10:12
192.168.0.88,104.16.80.73,443,TCP,54,2025-04-10 13:10:12
104.16.80.73,192.168.0.88,53049,TCP,60,2025-04-10 13:10:12
104.18.94.41,192.168.0.88,53050,TLS,93,2025-04-10 13:10:12
